Event                           , Max. Rating , Experience Level , Fee (Inc. GST)
Division 1 Singles              , ∞           , Elite            ,
Division 1 Doubles              , ∞           , Elite            ,
Division 2 Singles              ,             , Advance          ,
Division 3 Singles              ,             , Intermediate     ,
Division 2 & 3 Doubles          ,             , Advance          ,
Division 4 Singles              ,             , Amateur          ,
Division 4 Doubles              ,             , Amateur          ,
Division 5 Singles              ,             , Beginner         ,
Junior Singles                  ,             , Beginner         ,
Division 5 & Junior Doubles     ,             , Beginner         ,
